level,category,ex_top,kanji,ex_bottom,yomi
two,yomi,自然豊かで,酪農,が盛んだ。,らくのう
two,yomi,,彙報,を発行する。,いほう
two,yomi,,刹那,主義の若輩。,せつな
two,yomi,今回の台風は,甚大,な被害をもたらした。,じんだい
two,yomi,汚職事件には強い,憤り,を感じる。,いきどおり
two,yomi,息子を,溺愛,する。,できあい
two,yomi,盗難事件が,頻発,している。,ひんぱつ
two,yomi,決定するには時期,尚早,だ。,しょうそう
two,yomi,否定派が,肯定,派を上回る。,こうてい
two,yomi,登山時は,雪渓,に注意が必要だ。,せっけい
two,yomi,織田家の,嫡子,である信長に嫁ぐ。,ちゃくし
two,yomi,,臆面,もなく話す。,おくめん
two,yomi,作物が,霜害,の被害を受ける。,そうがい
two,yomi,対戦相手を,一蹴,する。,いっしゅう
two,yomi,有害物質による,土壌,の汚染が深刻化している。,どじょう
two,yomi,障害物を避けるために,旋回,する。,せんかい
two,yomi,,醜悪,な争いが後を絶たない。,しゅうあく
two,yomi,彼の本性が,露呈,された。,ろてい
two,yomi,特徴が,顕著,に現れる。,けんちょ
two,yomi,外交文書に,国璽,が押される。,こくじ
two,yomi,隣人に,会釈,してすれ違った。,えしゃく
two,yomi,,土壇場,での大逆転。,どたんば
two,yomi,,愁嘆場,を演じる。,しゅうたんば
two,yomi,冥福を祈り,回向,する。,えこう
two,yomi,公の弾劾により,罷免,される。,ひめん
two,yomi,試作品を,頒布,する。,はんぷ
two,yomi,大声で,脅嚇,する。,きょうかく
two,yomi,川辺に,蚊柱,が立つ。,かばしら
two,yomi,路盤に,砕石,を用いる。,さいせき
two,yomi,記事を,抄訳,する。,しょうやく
two,yomi,,曖昧,な表現を避ける。,あいまい
two,yomi,植物の,種苗,。,しゅびょう
two,yomi,気持ちが,萎縮,する。,いしゅく
two,yomi,人生の意味を,思索,する。,しさく
two,yomi,,漆,は塗料のほか接着剤としても用いられる。,うるし
two,yomi,人気の海外,製靴,メーカー。,せいか
two,yomi,,咽喉,を痛める。,いんこう
two,yomi,子どもたちが集まって,童歌,を歌う。,わらべうた
two,yomi,土日は工場が,稼働,していない。,かどう
two,yomi,ここ数年で収穫量が,逓減,している。,ていげん
two,yomi,総理大臣の,椅子,。,いす
two,yomi,,誓約書,にサインする。,せいやくしょ
two,yomi,印紙を,貼用,する。,ちょうよう
two,yomi,,紙幣,の両替を頼む。,しへい
two,yomi,,危惧,の念を抱く。,きぐ
two,yomi,早朝から市場では,競り,が行われる。,せり
two,yomi,,怨恨,による事件と判明した。,えんこん
two,yomi,,挨拶,を交わす。,あいさつ
two,yomi,,宛先,を確認する。,あてさき
two,yomi,出産祝いに,産着,を送る。,うぶぎ
two,yomi,,疎遠,になった友人と久々に再会する。,そえん
two,yomi,川に落ちて,溺死,する。,できし
two,yomi,,畏怖,の念を抱く。,いふ
two,yomi,資金集めに,狂奔,する。,きょうほん
two,yomi,近所では有名な,愛猫,家だ。,あいびょう
two,yomi,,鬱屈,した日々を過ごす。,うっくつ
two,yomi,,戦慄,が走る。,せんりつ
two,yomi,,妖艶,な女性。,ようえん
two,yomi,,旺盛,な食欲。,おうせい
two,yomi,,辣腕,を振るう。,らつわん
two,yomi,,苛酷,な状況。,かこく
two,yomi,,脇腹,が痛い。,わきばら
two,yomi,人生を,諦観,する。,ていかん
two,yomi,,進捗,状況を確認する。,しんちょく
two,yomi,カーテンの,裾,。,すそ
two,yomi,,凄惨,な戦い。,せいさん
two,yomi,,蜜月,旅行に行く。,みつげつ
two,yomi,遠い,親戚,より近くの他人。,しんせき
two,yomi,,失踪,事件を調査する。,しっそう
two,yomi,レーダーで飛行機を,捕捉,する。,ほそく
two,yomi,,唾棄,すべき行為。,だき
two,yomi,知人の出世を,妬む,。,ねたむ
two,yomi,,瞳孔,が拡大する。,どうこう
two,yomi,,汎用性,が高い。,はんようせい
two,yomi,内乱が,勃発,した。,ぼっぱつ
two,yomi,精神を,陶冶,する。,とうや
two,yomi,,臆断,を下す。,おくだん
two,yomi,見知らぬ男達に,拉致,される。,らち
two,yomi,部下の,横柄,な態度を注意する。,おうへい
two,yomi,内閣の,瓦解,。,がかい
two,yomi,,出藍,の誉れ高い弟子。,しゅつらん
two,yomi,険しい,崖,に登る。,がけ
two,yomi,,明瞭,な発音。,めいりょう
two,yomi,食物を,玩味,する。,がんみ
two,yomi,,賄賂,を贈って買収する。,わいろ
two,yomi,人を,愚弄,する。,ぐろう
two,yomi,,僅差,で勝利する。,きんさ
two,yomi,雨で家に,籠城,する。,ろうじょう
two,yomi,,山麓,の村。,さんろく
two,yomi,ピアノの,鍵盤,。,けんばん
two,yomi,長年の,怨念,を晴らす。,おんねん
two,yomi,,顎,を突き出す。,あご
two,yomi,,虎口,を脱する。,ここう
two,yomi,,亀裂,が生じる。,きれつ
two,yomi,腕を,脱臼,する。,だっきゅう
two,yomi,犬は鋭い,嗅覚,を持っている。,きゅうかく
two,yomi,,真摯,に受け止める。,しんし
two,yomi,悪者の,餌食,になる。,えじき
two,yomi,厳しく,叱責,する。,しっせき
two,yomi,,羨望,を集める。,せんぼう
two,yomi,,砂嵐,に襲われる。,すなあらし
two,yomi,,畏敬,の念を抱く。,いけい
two,yomi,あの人は,語彙,が豊富だ。,ごい
two,yomi,,茨,の道を行く。,いばら
two,yomi,,均斉,のとれた形。,きんせい
two,yomi,血が,鬱結,する。,うっけつ
two,yomi,有名女子大出身の,才媛,。,さいえん
two,yomi,,俺様,に逆らうな。,おれさま
two,yomi,敵軍の,牙城,に迫る。,がじょう
two,yomi,,楷書体,の書き方を学ぶ。,かいしょたい
two,yomi,反乱軍は,潰走,した。,かいそう
two,yomi,,俳諧,の編著。,はいかい
two,yomi,,蓋然,の結果。,がいぜん
two,yomi,制度は既に,形骸化,している。,けいがいか
two,yomi,,柿,の皮をむく。,かき
two,yomi,,葛藤,が生じる。,かっとう
two,yomi,,釜飯,のおいしいお店。,かまめし
two,yomi,名誉を,毀損,する。,きそん
two,yomi,子供たちの,憧憬,の的となる。,しょうけい（どうけい）
two,yomi,,近畿,地方の天気。,きんき
two,yomi,疑わしい相手に,鎌,をかける。,かま
two,yomi,犯罪者の,巣窟,。,そうくつ
two,yomi,神社に,詣でる,。,もうでる
two,yomi,,頬桁,をたたく。,ほおげた
two,yomi,初めて,歌舞伎,を観賞する。,かぶき
two,yomi,友人との間に,間隙,が生じた。,かんげき
two,yomi,懲役又は,禁錮,に処す。,きんこ
two,yomi,,梗概,を示す。,こうがい
two,yomi,材料を,竹串,に刺す。,たけぐし
two,yomi,,雑巾,を絞る。,ぞうきん
two,yomi,故郷に,錦,を飾る。,にしき
two,yomi,,寡聞,にして存じません。,かぶん
two,yomi,,熊,に襲われる。,くま
two,yomi,,滑稽,な態度。,こっけい
two,yomi,船は,右舷,に傾いた。,うげん
two,yomi,,股関節,が痛い。,こかんせつ
two,yomi,規定により,勾留,される。,こうりゅう
two,yomi,地獄の,沙汰,も金次第。,さた
two,yomi,周りに,嫉視,される。,しっし
two,yomi,,斬新,な発想。,ざんしん
two,yomi,許しを,乞う,。,こう
two,yomi,御,叱正,を仰ぐ。,しっせい
two,yomi,,鬱乎,たる草木。,うっこ
two,yomi,フェリーで,愛媛,に行く。,えひめ
two,yomi,計画は資金不足のため,頓挫,した。,とんざ
two,yomi,消毒薬で,拭浄,する。,しょくじょう
two,yomi,,目尻,を下げる。,めじり
two,yomi,,喝采,を浴びる。,かっさい
two,yomi,,頃合い,を見計らう。,ころあい
two,yomi,,腫瘍,を取り除く手術を受ける。,しゅよう
two,yomi,,傲岸,な性格をしている。,ごうがん
two,yomi,,駒,を進める。,こま
two,yomi,,血痕,が付着していた。,けっこん
two,yomi,,脱柵,した隊員。,だっさく
two,yomi,児童の,恣意,を尊重する。,しい
two,yomi,,呪縛,を解く。,じゅばく
two,yomi,,羞悪,の心。,しゅうお
two,yomi,名前の入力は,必須,項目である。,ひっす
two,yomi,火にかけて十分に,煎る,。,いる
two,yomi,方針を,詮議,する。,せんぎ
two,yomi,,肝腎,なことを忘れる。,かんじん
two,yomi,賃金を,遡及,して支払う。,そきゅう
two,yomi,,未曽有,の大事故。,みぞう
two,yomi,今朝の空気は,爽やか,だ。,さわやか
two,yomi,田畑のない,痩地,。,そうち
two,yomi,犯人の,踪跡,を失った。,そうせき
two,yomi,経営は,丼勘定,では成功しない。,どんぶりかんじょう
two,yomi,放射線を,遮蔽,する。,しゃへい
two,yomi,,衆寡,敵せず。,しゅうか
two,yomi,このゲームは,八百長,だ。,やおちょう
two,yomi,真相をやみに,葬る,。,ほうむる
two,yomi,,安寧,を保つ。,あんねい
two,yomi,松下村塾の,双璧,と称された。,そうへき
two,yomi,費用を,捻出,する。,ねんしゅつ
two,yomi,,奈落,の底に落ちる。,ならく
two,yomi,,嘲罵,を浴びせる。,ちょうば
two,yomi,梅が,綻びる,。,ほころびる
two,yomi,他国と比べても,遜色,のない基準である。,そんしょく
two,yomi,,和睦,を申し出る。,わぼく
two,yomi,,弥次馬,が集まる。,やじうま
two,yomi,,比喩,的な言葉。,ひゆ
two,yomi,人民が,蜂起,した。,ほうき
two,yomi,,粛然,とした雰囲気。,しゅくぜん
two,yomi,たぐいまれなる,傑物,だ。,けつぶつ
two,yomi,,枝垂れ,柳を植える。,しだれ
two,yomi,その,旨,を伝える。,むね
two,yomi,不当な利益を,貪る,。,むさぼる
two,yomi,そろそろ,配膳,の時間だ。,はいぜん
two,yomi,,旦夕,に迫る。,たんせき
two,yomi,,焼酎,を飲んだ。,しょうちゅう
two,yomi,たくさんの小さな,斑点,。,はんてん
two,yomi,甘い,匂い,がする。,におい
two,yomi,,謎めいた,事件。,なぞめいた
two,yomi,相手を,蔑視,する。,べっし
two,yomi,,冥加,に余る。,みょうが
two,yomi,生涯の,伴侶,。,はんりょ
two,yomi,流行に,疎い,。,うとい
two,yomi,,剥製,の鳥。,はくせい
two,yomi,知人の,訃報,に接する。,ふほう
two,yomi,師の,薫陶,を受ける。,くんとう
two,yomi,株価が,急騰,した。,きゅうとう
two,yomi,死ぬか生きるかの,瀬戸際,だ。,せとぎわ
two,yomi,銃の,筒先,。,つつさき
two,yomi,,年端,もいかない子ども。,としは
two,yomi,君主に,拝謁,する。,はいえつ
two,yomi,相手を,懐柔,する。,かいじゅう
two,yomi,,窮状,を訴える。,きゅうじょう
two,yomi,,潔く,謝罪する。,いさぎよく
two,yomi,,好事家,の間で人気の品だ。,こうずか
two,yomi,金品が,絡む,問題。,からむ
two,yomi,,涙腺,が緩む。,るいせん
two,yomi,土砂が海底に,堆積,する。,たいせき
two,yomi,,懐かしい,写真を見る。,なつかしい
two,yomi,,霜柱,の上を歩く。,しもばしら
two,yomi,ご,利益,がある神社。,りやく
two,yomi,,礎,を築いた人物。,いしずえ
two,yomi,領収書の,但し,書き。,ただし
two,yomi,日本の歴史を,汎説,する。,はんせつ
two,yomi,,焦眉,の急を要する。,しょうび
two,yomi,大きな,変貌,を遂げる。,へんぼう
two,yomi,自分の,殻,に閉じこもる。,から
two,yomi,速さを,競う,。,きそう
two,yomi,,浄瑠璃,を語る。,じょうるり
two,yomi,,乾麺,を製造する。,かんめん
two,yomi,扉を,施錠,する。,せじょう
two,yomi,,精緻,な技法。,せいち
two,yomi,ガスを,充填,する。,じゅうてん
two,yomi,本に,索引,をつける。,さくいん
two,yomi,空に,虹,がかかる。,にじ
two,yomi,,尻餅,をつく。,しりもち
two,yomi,現在も残る貴重な,湧水,。,ゆうすい
two,yomi,,肥沃,な土地。,ひよく
two,yomi,,冷徹,な目。,れいてつ
two,yomi,,全幅,の信頼を寄せる。,ぜんぷく
two,yomi,,膝,を曲げると痛い。,ひざ
two,yomi,食べ物を,頬張る,。,ほおばる
two,yomi,,賭博,は禁止されている。,とばく
two,yomi,,爪先,で立つ。,つまさき
two,yomi,,脊椎,の病気を治療する。,せきつい
two,yomi,子どもに,箸,の持ち方を教える。,はし
two,yomi,,肘,を伸ばす。,ひじ
two,yomi,赤ちゃんが,哺乳瓶,を嫌がる。,ほにゅうびん
two,yomi,,夕闇,の中を歩く。,ゆうやみ
two,yomi,,夢枕,に立つ。,ゆめまくら
two,yomi,ご意見を,頂戴,しました。,ちょうだい
two,yomi,,語呂,がいい言葉。,ごろ
two,yomi,,漠,とした不安。,ばく
two,yomi,物事の,捉え方,を変える。,とらえかた
two,yomi,,処方箋,が必要な薬。,しょほうせん
two,yomi,,梨,を収穫する。,なし
two,yomi,,千羽鶴,を折る。,せんばづる
two,yomi,,盲亀,の浮木。,もうき
two,yomi,,喉元,過ぎれば熱さを忘れる。,のどもと
two,yomi,,呪文,を唱える。,じゅもん
two,yomi,,謙遜,した態度で話す。,けんそん
two,yomi,台風で川が,氾濫,する。,はんらん
two,yomi,,妖しい,光。,あやしい
two,yomi,戦争の,惨禍,。,さんか
two,yomi,候補者として,薦めた,。,すすめた
two,yomi,疲れが,鬱積,する。,うっせき
two,yomi,,寸隙,を狙う。,すんげき
two,yomi,領収書に印紙を,貼る,。,はる
two,yomi,成功を,渇望,する。,かつぼう
two,yomi,ここからの,眺め,は最高だ。,ながめ
two,yomi,水酸化ナトリウムは,苛性,ソーダとも呼ばれる。,かせい
two,yomi,意見交換は,深更,まで続いた。,しんこう
two,yomi,一族の長老として,尊崇,を集める。,そんすう
two,yomi,権威の前に,畏縮,する。,いしゅく
two,yomi,文書の,毀棄,。,きき
two,yomi,,命乞い,をする。,いのちごい
two,yomi,,羞恥,を覚える。,しゅうち
two,yomi,,堆肥,を作る。,たいひ
two,yomi,白い,斑紋,が見られる。,はんもん
two,yomi,,沃野,で作物を育てる。,よくや
two,yomi,,一矢,を報いる。,いっし
two,yomi,,清艶,な美人。,せいえん
two,yomi,,拳銃,が押収される。,けんじゅう
two,yomi,人前で,嘲弄,を受ける。,ちょうろう
two,yomi,法を,狭義,に解釈する。,きょうぎ
two,yomi,,慶事,が続く。,けいじ
two,yomi,,象牙,の塔。,ぞうげ
two,yomi,,虚空,に消える。,こくう
two,yomi,,虐げられている,人を救済する。,しいたげられている
two,yomi,,茨城,に転勤になる。,いばらき
two,yomi,石でできた,臼,。,うす
two,yomi,私は時に,傲語,する。,ごうご
two,yomi,不安を,払拭,する。,ふっしょく
two,yomi,一年の計は,元旦,にあり。,がんたん
two,yomi,あの話は,眉唾物,だ。,まゆつばもの
two,yomi,,藍染め,を体験する。,あいぞめ
two,yomi,趣味で,詩吟,を練習する。,しぎん
two,yomi,,臆する,ことなく戦いを挑む。,おくする
two,yomi,,鍵穴,を隠す。,かぎあな
two,yomi,本質を,諦視,する。,ていし
two,yomi,,稚拙,な考え方しかできない。,ちせつ
two,yomi,消毒のために,煮沸,した。,しゃふつ
two,yomi,,断崖,絶壁に咲く花。,だんがい
two,yomi,馬を,手綱,で引く。,たづな
two,yomi,影響を与えている事は,否めない,。,いなめない
two,yomi,話に,色艶,を添える。,いろつや
two,yomi,,三角巾,を使った応急処置。,さんかくきん
two,yomi,,手頃,な値段。,てごろ
two,yomi,もう,尻拭い,はごめんだ。,しりぬぐい
two,yomi,会社が,破綻,する。,はたん
two,yomi,,訃告,が発表された。,ふこく
two,yomi,目の前の光景に,慄然,とする。,りつぜん
two,yomi,,富裕,な生活を送る。,ふゆう
two,yomi,,苛辣,な反論。,からつ
two,yomi,,傲然,たる態度。,ごうぜん
two,yomi,損失を,補填,する。,ほてん
two,yomi,,払暁,に決行する。,ふつぎょう
two,yomi,息子を,懇々,と諭す。,こんこん
two,yomi,,葛切り,を食べる。,くずきり
two,yomi,信用金庫の,渉外,係。,しょうがい
two,yomi,真実を知る,由,も無い。,よし
two,yomi,,旺然,たる憎悪を感じ始めた。,おうぜん
two,yomi,,僅少,な変動。,きんしょう
two,yomi,,痕跡,が残っている。,こんせき
two,yomi,,凄艶,な姿。,せいえん
two,yomi,,緻密,な計画を立てる。,ちみつ
two,yomi,事実を,隠蔽,する。,いんぺい
two,yomi,敵を,翻弄,する。,ほんろう
two,yomi,この町には現在も多くの,窯元,が残る。,かまもと
two,yomi,,爪牙,となって働く。,そうが
two,yomi,台風の,爪痕,。,つめあと
two,yomi,警察が,賭場,に踏み込む。,とば
two,yomi,重要な役割を,担う,。,になう
two,yomi,,開襟,シャツを着る。,かいきん
two,yomi,子犬を,愛玩,する。,あいがん
two,yomi,大仏の表面は,緑青,に覆われている。,ろくしょう
two,yomi,悲惨で,醜い,争い。,みにくい
two,yomi,,苛烈,な戦いを繰り広げる。,かれつ
two,yomi,,錦衣,を賜る。,きんい
two,yomi,途中で,挫折,する。,ざせつ
two,yomi,,脊髄,の構造について知る。,せきずい
two,yomi,商品にラベルを,貼付,する。,ちょうふ（てんぷ）
two,yomi,,完璧,な演奏。,かんぺき
two,yomi,男性を,籠絡,する。,ろうらく
two,yomi,その植物には,地下茎,がある。,ちかけい
two,yomi,ニキビを,潰す,。,つぶす
two,yomi,手首を,捻挫,する。,ねんざ
two,yomi,輸送が,停頓,している。,ていとん
two,yomi,物議を,醸す,。,かもす
two,yomi,物見,遊山,に出かける。,ゆさん
two,yomi,,魔窟,に足を踏み入れた。,まくつ
two,yomi,,聴聞,を開催する。,ちょうもん
two,yomi,お,布施,を用意する。,ふせ
two,yomi,,牙,を研ぐ。,きば
two,yomi,,疑惧,の念を抱く。,ぎぐ
two,yomi,,風采,が重々しい。,ふうさい
two,yomi,,姻戚,関係による兄弟。,いんせき
two,yomi,失敗を,嘲る,。,あざける
two,yomi,,蔑んだ,ような目で見る。,さげすんだ
two,yomi,山の,麓,に住む。,ふもと
two,yomi,道理を,会得,する。,えとく
two,yomi,,絶崖,からの景色。,ぜつがい
two,yomi,,采配,を振る。,さいはい
two,yomi,,罵言,を吐く。,ばげん
two,yomi,,端数,が出ないようにする。,はすう
two,yomi,,漸進,的に改善される。,ぜんしん
two,yomi,,造詣,が深い。,ぞうけい
two,yomi,,偽,の名前を名乗る。,にせ
two,yomi,現場を,宰領,する。,さいりょう
two,yomi,,瓦石,に等しい。,がせき
two,yomi,薄暗い,洞窟,。,どうくつ
two,yomi,通路を,塞ぐ,。,ふさぐ
two,yomi,,煎餅,を二つに割る。,せんべい
two,yomi,,椎間板,ヘルニアの治療を受ける。,ついかんばん
two,yomi,,養蜂場,を経営する。,ようほうじょう
two,yomi,,両脇,を締める。,りょうわき
two,yomi,彼に,比肩,する者はいない。,ひけん
two,yomi,,骸骨,のようにやせ細っている。,がいこつ
two,yomi,,要塞,を攻撃する。,ようさい
two,yomi,めっきを,剥離,する。,はくり
two,yomi,,書棚,に本を戻す。,しょだな
two,yomi,,醜聞,を流す。,しゅうぶん
two,yomi,相手に,隙,を与えない。,すき
two,yomi,,廃屋,同然の建物。,はいおく
two,yomi,人を恐怖に,陥れる,。,おとしいれる
two,yomi,敵を,潰敗,させる。,かいはい
two,yomi,霊山浄土に,往詣,することができる。,おうけい
two,yomi,,鉄柵,を設ける。,てっさく
two,yomi,兄弟が多くて,羨ましい,。,うらやましい
two,yomi,,爪弾き,にされる。,つまはじき
two,yomi,,美貌,と知性をあわせ持つ女性。,びぼう
two,yomi,,閑却,できない状況。,かんきゃく
two,yomi,,偏狭,な考え方。,へんきょう
two,yomi,,葛根湯,を飲む。,かっこんとう
two,yomi,後輩を,叱責,する。,しっせき
two,yomi,,鏡餅,を飾る。,かがみもち
two,yomi,試験に,頻出,する問題。,ひんしゅつ
two,yomi,金の,亡者,と呼ばれる。,もうじゃ
two,yomi,,傲慢,な態度。,ごうまん
two,yomi,,長患い,で体力が落ちる。,ながわずらい
two,yomi,三週間の入院で,平癒,した。,へいゆ
two,yomi,よく,諧和,している。,かいわ
two,yomi,,稽古,に励む。,けいこ
two,yomi,,古刹,を巡る。,こさつ
two,yomi,植物の,腺毛,。,せんもう
two,yomi,,諦め,が肝心だ。,あきらめ
two,yomi,,親睦,を深める。,しんぼく
two,yomi,形式に,拘泥,する。,こうでい
two,yomi,,媒酌,の労をとる。,ばいしゃく
two,yomi,小説を,玩読,する。,がんどく
two,yomi,,凄然,とした雰囲気。,せいぜん
two,yomi,人を,軽蔑,してはいけない。,けいべつ
two,yomi,里芋の,茎,。,くき
two,yomi,,崇高,な精神の持ち主。,すうこう
two,yomi,,爽涼,の候。,そうりょう
two,yomi,機械を,据える,。,すえる
two,yomi,多くの,俊才,を出している学校。,しゅんさい
two,yomi,,崖下,に海が広がる。,がいか（がけした）
two,yomi,,空隙,を埋める。,くうげき
two,yomi,侵略を,恣行,した。,しこう
two,yomi,原因を,詮索,する。,せんさく
two,yomi,酒に,溺れる,。,おぼれる
two,yomi,企業熱が,勃興,した。,ぼっこう
two,yomi,動力の伝達量を,漸増,させる。,ぜんぞう
two,yomi,,荘重,な式典。,そうちょう
two,yomi,突然の,失跡,事件から一年が経過した。,しっせき
two,yomi,,毀誉,は他人の主張。,きよ
two,yomi,,煎茶,を飲む。,せんちゃ
two,yomi,堂々たる,風貌,。,ふうぼう
two,yomi,アイドルの恋愛は,御法度,だ。,ごはっと
two,yomi,人のミスを,嘲笑,する。,ちょうしょう
two,yomi,,弊社,の製品のご紹介です。,へいしゃ
two,yomi,多くの作品が海外に,散逸,した。,さんいつ
two,yomi,戦いの,火蓋,は切られた。,ひぶた
two,yomi,,桁違い,の金額。,けたちがい
two,yomi,,摯実,な青年。,しじつ
two,yomi,一枚の,便箋,。,びんせん
two,yomi,弾を,装填,する。,そうてん
two,yomi,,愚昧,な連中。,ぐまい
two,yomi,世界一周の,壮図,を抱く。,そうと
two,yomi,激しい,嫌悪,を感じる。,けんお
two,yomi,乾杯の,音頭,を取る。,おんど
two,yomi,,僅かな,材料しか残っていない。,わずかな
two,yomi,,所詮,そんなものだ。,しょせん
two,yomi,,冥利,に尽きる。,みょうり
two,yomi,ぜひ,拙宅,へお越し下さい。,せったく
two,yomi,話を,諦聴,する。,ていちょう
two,yomi,債務を支払うように,督促,する。,とくそく
two,yomi,カラスが,営巣,する。,えいそう
two,yomi,海底から船の,残骸,が引き上げられた。,ざんがい
two,yomi,ピアノの,黒鍵,。,こっけん
two,yomi,マスコミの,好餌,となる。,こうじ
two,yomi,要人が,狙撃,される。,そげき
two,yomi,,賭け事,にのめり込む。,かけごと
two,yomi,,冥土,の道に王はなし。,めいど
two,yomi,,旋風,を巻き起こす。,せんぷう
two,yomi,,罪業,を重ねる。,ざいごう
two,yomi,年齢を,詐称,する。,さしょう
two,yomi,,錦秋,の候。,きんしゅう
two,yomi,魚が河川を,遡上,する。,そじょう
two,yomi,,豊沃,な土地。,ほうよく
two,yomi,国家の,安泰,を願う。,あんたい
two,yomi,,衷心,より感謝申し上げます。,ちゅうしん
two,yomi,,頓知,を働かせる。,とんち
two,yomi,,一献,傾ける。,いっこん
two,yomi,,施主,と業者。,せしゅ
two,yomi,,顎関節,症を治療する。,がくかんせつ
two,yomi,岸に,接舷,する。,せつげん
two,yomi,部下を,叱る,。,しかる
two,yomi,川を,遡る,魚。,さかのぼる
two,yomi,本棚を,整頓,する。,せいとん
two,yomi,,冶金学,を学ぶ。,やきんがく
two,yomi,発熱と,悪寒,がする。,おかん
two,yomi,力を,顕示,する。,けんじ
two,yomi,安全,且つ,効率的な物流。,かつ
two,yomi,将来を,憂惧,する。,ゆうぐ
two,yomi,,爽昧,の気。,そうまい
two,yomi,,辛辣,な言葉。,しんらつ
two,yomi,物事の根源を,窮める,。,きわめる
two,yomi,パンフレットの,頒価,を変更する。,はんか
two,yomi,,罵声,を浴びせる。,ばせい
two,yomi,,舌禍,を招く。,ぜっか
two,yomi,大声で,罵倒,される。,ばとう
two,yomi,,葛湯,を飲む。,くずゆ
two,yomi,,虎威,を張る。,こい
two,yomi,,叱声,が飛ぶ。,しっせい
